Food Name,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Retinol (µg),Carotene (µg),Retinol Equivalent (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg)
,WATER,TOTNIT,PROT,FAT,CHO,KCALS,KJ,STAR,OLIGO,TOTSUG,GLUC,GALACT,FRUCT,SUCR,MALT,LACT,ALCO,ENGFIB,AOACFIB,SATFAC,SATFOD,TOTn6PFAC,TOTn6PFOD,TOTn3PFAC,TOTn3PFOD,MONOFACc,MONOFODc,MONOFAC,MONOFOD,POLYFACc,POLYFODc,POLYFAC,POLYFOD,SATFACx6,SATFODx6,TOTBRFAC,TOTBRFOD,FACTRANS,FODTRANS,CHOL,NA,K,CA,MG,P,FE,CU,ZN,CL,MN,SE,I,RET,CAREQU,RETEQU,VITD,VITE,VITK1,THIA,RIBO,NIAC,TRYP60,NIACEQU,VITB6,VITB12,FOLT,PANTO,BIOT,VITC
,Water,Total nitrogen,Protein,Fat,Carbohydrate,kcal,kJ,Starch,Oligosaccharide,Total sugars,Glucose,Galactose,Fructose,Sucrose,Maltose,Lactose,Alcohol,Non-starch polysaccharide,AOAC fibre,Saturated fatty acids per 100g fatty acids,Saturated fatty acids per 100g food,Total n-6 polyunsaturated fatty acids per 100g fatty acid,Total n-6 polyunsaturated fatty acids per 100g food,Total n-3 polyunsaturated fatty acids per 100g fatty acid,Total n-3 polyunsaturated fatty acids per 100g food,cis-Monounsaturated fatty acids /100g FA,cis-Monounsaturated fatty acids /100g Food,Monounsaturated fatty acids per 100g fatty acids,Monounsaturated fatty acids per 100g food,cis-Polyunsaturated fatty acids /100g FA,cis-Polyunsaturated fatty acids /100g Food,Polyunsaturated fatty acids per 100g fatty acids,Polyunsaturated fatty acids per 100g food,Saturated fatty acids excluding branch per 100 g fatty acid,Saturated fatty acids excluding branch per 100 g food,Total branched chain per 100g fatty acid,Total branched chain per 100g food,Total Trans fatty acids per 100g fatty acids,Total Trans fatty acids per 100g food,Cholesterol,Sodium,Potassium,Calcium,Magnesium,Phosphorus,Iron,Copper,Zinc,Chloride,Manganese,Selenium,Iodine,Retinol,Carotene,Total retinol equivalent,Total Vitamin D,Total Vitamin E,Phylloquinone,Thiamin,Riboflavin,Niacin,Tryptophan divided by 60,Niacin equivalent,Vitamin B6,Vitamin B12,Folate,Pantothenate,Biotin,Vitamin C
"Sushi, tuna nigiri",61.5,1.34,8.4,2.5,30.3,170,720,25.5,0.1,4.7,1.0,0,0.5,2.2,0.9,0.1,0.0,0.7,1.2,30.15,0.68,17.50,0.39,13.61,0.31,34.64,0.78,34.86,0.78,31.30,0.70,31.30,0.70,29.72,0.67,0.43,0.01,0.17,0,8.0,331,137,8,15,88,0.28,0.07,0.4,523,0.18,20,4,N,0,N,3.6,0,0,0.02,0.04,4.4,1.0,5.4,0.14,0.7,3,0.14,0.4,0
"Sushi, vegetable",61.0,0.54,3.4,1.3,32.8,148,630,25.6,0.1,7.0,2.5,0,2.4,0.5,1.4,0.1,0.0,1.2,1.6,0,N,0,0,0,0,0,0,0,N,0,0,0,N,0,0,0,0,0,0.00,0.0,521,88,23,14,48,0.52,0.11,0.5,665,0.28,4,20,0,163,27,0.0,0.55,0,0.03,0.06,0.5,0.7,1.2,0.04,0.0,6,0.13,1.6,4
"Swede, flesh only, boiled in unsalted water",88.5,0.11,0.7,0.1,5.8,26,109,0.1,0,5.7,3,0,2.2,0.5,0,0,0,0.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,4,175,37,8,32,0.16,0.02,0.1,9,0.08,0,0,0,22,4,0,0,0,0.02,0,0.5,0.1,0.6,0.07,0,19,0.1,0,15
"Swede, flesh only, raw",91.2,0.11,0.7,0.3,5.0,24,101,0.1,0,4.9,2.7,0.0,2.0,0.2,0.0,0.0,0.0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20,0,0,0,0,0,0.00,0.0,15,170,53,9,40,0.10,0.01,0.3,31,0.10,1,N,0,350,58,0.0,0,2.00,0.15,0,1.2,0.1,1.3,0.21,0.0,31,0.11,0.1,31
"Sweet and sour chicken, takeaway",59.2,1.21,7.6,10.0,19.7,194,814,8.8,0.2,10.7,3.4,0,3.2,4.1,0,0,0.0,N,N,13.51,1.29,0,0,0,0,54.06,5.17,54.24,5.19,31.61,3.02,31.77,3.04,0,0,0,0,0.34,0.03,23.5,259,142,35,13,114,2.38,0.04,0.4,400,0.19,6,N,2,135,25,0.6,2.14,0,0.04,0.06,2.1,1.3,3.4,0.12,0,2,0.39,1.7,0
"Sweet and sour pork, battered, takeaway",53.6,1.25,7.8,13.9,22.4,240,1005,10.9,0,11.5,3.7,0,3.6,4.2,0,0,0.0,1.0,1.2,17.51,2.33,20.84,2.70,6.52,0.84,54.17,7.01,54.36,7.22,27.54,3.57,27.67,3.68,17.41,2.25,N,N,0.32,0.04,27.4,249,122,48,10,109,2.26,0.05,1.1,N,0.16,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,N
"Sweet and sour pork, homemade",65.5,2.03,12.7,8.3,11.6,176,736,3.5,0,7.8,1.2,0,1.1,5.5,0.0,0.0,0.8,0.5,N,0,1.99,0,0,0,0,0,0,0,2.55,0,0,0,3.21,0,0,0,0,0,0,49.2,282,311,15,21,141,0.84,0.08,1.3,408,0.07,8,5,4,129,26,0.5,2.27,0,0.48,0.14,3.3,2.7,6.0,0.29,0.5,9,0.71,2.1,14
Sweet potato and onion layer,68.1,0.54,3.4,1.8,23.3,124,523,16.6,0,6.8,0.8,0,0.7,3.8,0.0,1.6,0.0,2.2,N,0,1.04,0,0,0,0,0,0,0,0.40,0,0,0,0.13,0,0,0,0,0,0.06,4.6,66,375,87,21,93,0.71,0.13,0.5,122,0.37,1,13,16,3168,544,0.0,0.31,0,0.14,0.08,0.5,0.8,1.3,0.09,0.3,10,0.59,N,10
"Sweet potato, baked",65.6,0.25,1.6,0.4,27.9,115,488,13.4,0,14.5,1.1,0.0,0.8,6.3,6.3,0.0,0,3.3,5.2,0,0.20,0,0,0,0,0,0,0,0,0,0,0,0.10,0,0,0,0,0,0,0.0,52,480,31,23,65,0.90,0.18,0.4,85,0.50,1,3,0,5140,855,0.0,1.43,0,0.09,0,0.5,0.3,0.8,0.07,0.0,9,0.59,3.3,23
"Sweet potato, flesh only, boiled in unsalted water",81.2,0.27,1.7,0.2,13,58,245,3.6,0,9.4,0.7,0,0.5,4.1,4.1,0,0,2.3,2.7,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,37,375,58,20,39,0.53,0.14,0.3,86,0.39,0,2,0,5560,927,0,0.78,0,0.03,0.03,0.6,0.2,0.8,0.11,0,6,0.5,1.8,3
"Sweet potato, raw, flesh only",73.7,0.19,1.2,0.3,21.3,87,372,15.6,0,5.7,0.7,0.0,0.6,4.4,0,0.0,0.0,2.4,N,0,0.10,0,0,0,0,0,0,0,0,0,0,0,0.10,0,0,0,0,0,0.00,0.0,40,370,24,18,50,0.70,0.14,0.3,65,0.40,1,2,0,3930,655,0.0,0.28,0,0.17,0,0.5,0.3,0.8,0.09,0.0,17,0.59,N,23
"Sweet potato, steamed",74.8,0.18,1.1,0.3,20.4,84,356,12.0,0,8.4,0.6,0.0,0.4,3.7,3.7,0.0,0,2.3,2.7,0,0.10,0,0,0,0,0,0,0,0,0,0,0,0.10,0,0,0,0,0,0,0.0,35,350,20,16,48,0.70,0.13,0.3,62,0.40,1,2,0,3765,625,0.0,1.05,0,0.07,0,0.5,0.3,0.8,0.05,0.0,8,0.53,2.4,17
"Sweet potato, wedges, flesh and skin, baked in rapeseed oil",61.3,0.47,2.9,3.9,24.7,139,589,5.9,0,18.8,1.5,0,1.2,8.5,7.6,0,0,3.3,5.2,0,0.43,0,0,0,0,0,0,0,2.08,0,0,0,1.13,0,0,0,0,0,0,0,69,701,109,38,73,1,0.27,0.5,161,0.73,0,3,0,5140,855,0,1.6,0,0.06,0.05,1.1,0.4,1.5,0.2,0,11,0.94,3.4,5
"Sweetbread, lamb, fried in corn oil",57.7,4.59,28.7,11.4,0.0,217,910,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,N,N,0,0,0,0,0,0,N,N,0,0,N,N,0,0,0,0,N,0,N,52,400,27,34,480,1.80,0.40,3.6,52,0.08,N,N,0,0,0,0,N,0,0.04,0.29,2.3,4.1,6.4,0.04,3.0,9,0.80,4.0,23
"Sweetbread, lamb, raw",75.5,2.44,15.3,7.8,0.0,131,549,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,51.40,3.00,0,0,0,0,0,0,41.00,2.40,0,0,5.60,0.30,0,0,0,0,0,0,260.0,75,420,8,21,400,1.70,0.20,1.9,120,0.04,N,N,0,0,0,0,0.44,0,0.03,0.25,3.7,3.3,7,0.03,6.0,13,1.00,3.0,18
"Sweetcorn, baby, boiled in unsalted water",90,0.35,2.2,0.6,4.6,31,133,0.8,0,3.8,1.6,0,1.3,0.9,0,0,0,2,2.4,0,0.13,0,0.24,0,0.04,0,0,0,0.07,0,0,0,0.27,0,0,0,0,0,0,0,0,145,11,22,50,0.25,0.06,0.4,30,0.3,1,1,0,15,3,0,0.24,0,0.05,0.06,0.7,0.3,1,0.09,0,160,0.19,1.5,3
"Sweetcorn, baby, stir-fried in rapeseed oil",83,0.4,2.5,6,5.4,84.25,350.9,0.9,0,4.5,1.9,0,1.5,1.1,0,0,0,2.3,2.8,0,0.49,0,1.3,0,0.55,0,0,0,3.27,0,0,0,1.86,0,0,0,0,0,0,0,0,170,13,25,59,0.29,0.07,0.5,35,0.35,1,1,0,17,3,0,1.44,0,0.06,0.07,0.8,0.4,1.2,0.11,0,187,0.22,1.8,4
"Sweetcorn kernels, canned in water, drained",78.7,0.41,2.6,1.7,13.9,78,330,6.2,0.2,7.5,0.3,0,0.1,7.1,0,0.0,0,2.5,3.1,0,0.27,0,0,0,0,0,0,0,0.41,0,0,0,0.68,0,0,0,0,0,0.00,0.0,1,158,3,16,52,0.34,0.04,0.4,84,0.10,0,0,0,41,7,0.0,0.63,0,0.26,0.06,1.9,0.4,2.3,0.13,0.0,45,0.12,1.1,24
"Sweetcorn, dried",10.5,2.16,13.4,7.1,35.5,251,1059,25.4,0.7,9.4,9.0,0.0,0.4,0,0,0.0,0.0,9.7,N,0,0.93,0,0,0,0,0,0,0,1.90,0,0,0,2.83,0,0,0,0,0,0.00,0.0,4,1242,15,157,398,2.42,0.34,3.2,236,1.19,3,N,0,N,N,0.0,1.57,0,0,0,7.1,N,N,0,0.0,0,0,0,0
"Sweetcorn, kernels, boiled 'on the cob' in unsalted water",76.0,0.58,3.6,1.9,9.5,67,284,6.8,0.2,2.5,2.4,0,0.1,0,0,0.0,0.0,2.6,5.1,0,0.25,0,0,0,0,0,0,0,0.51,0,0,0,0.76,0,0,0,0,0,0.00,0.0,0,333,4,42,107,0.65,0.09,0.9,63,0.32,1,0,0,28,5,0.0,0.42,0.37,0.25,0.08,2.2,0.7,2.9,0.02,0.0,24,0.40,1.0,4
"Sweetcorn, kernels, boiled 'on the cob' in unsalted water, weighed with core",44.8,0.34,2.1,1.1,5.6,39,166,4.0,0.1,1.5,1.4,0.0,0.1,0,0,0.0,0.0,1.5,3.0,0,0.15,0,0,0,0,0,0,0,0.30,0,0,0,0.45,0,0,0,0,0,0.00,0.0,0,196,2,25,63,0.38,0.05,0.5,37,0.19,0,0,0,17,3,0.0,0.25,0.22,0.15,0.05,1.3,0.4,1.7,0.01,0.0,16,0.24,0.6,4
"Sweetcorn, kernels, 'on-the-cob', raw, weighed with core",44.8,0.32,2.0,1.1,4.8,36,150,3.5,0.1,1.2,1.1,0.0,0.1,0,0,0.0,0,0.9,N,0,0.12,0,0,0,0,0,0,0,0.30,0,0,0,0.30,0,0,0,0,0,0.00,0.0,0,213,2,22,54,0.41,0.02,0.2,30,0.10,0,N,0,14,2,0.0,0.19,0,0.09,0.03,1.1,0.2,1.3,0.01,0.0,24,0.43,N,5
"Sweetcorn, kernels, raw",76.0,0.54,3.4,1.8,8.1,60,254,5.9,0.2,2.0,1.9,0.0,0.1,0,0,0.0,0,1.5,N,0,0.20,0,0,0,0,0,0,0,0.50,0,0,0,0.70,0,0,0,0,0,0.00,0.0,1,260,3,37,91,0.70,0.04,0.4,11,0.20,0,N,0,23,4,0.0,0.33,0,0.16,0.05,1.9,0.4,2.3,0.02,0.0,41,0.73,N,8
"Sweets, boiled",16.6,0,0,0,87.1,327,1394,0.4,0,86.7,8.5,0.0,1.4,67.5,9.3,0.0,0.0,0.0,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0.00,0.0,25,8,5,2,12,0.40,0.09,N,68,N,0,N,0,0,0,0.0,0.00,0,0.00,0.00,0.0,0.0,0,0.00,0.0,0,0.00,0.0,0
"Sweets, chew sweets",3.8,0.15,0.9,6.0,85.1,377,1599,0,30.6,54.5,6.3,0,0,40.5,7.7,0,0.0,0,0,62.30,3.57,6.56,0.38,0.18,0.01,30.04,1.72,30.14,1.73,6.74,0.39,6.74,0.39,62.30,3.57,0,0,0.10,0.01,0.0,30,10,3,2,4,0.10,0,0,30,0,0,N,0,152,25,0.0,1.20,0,0,0,N,N,N,0,0.0,0,0,0,N
"Sweets, sherbert",0.2,0.10,0.6,0.0,93.9,355,1513,0,0,93.9,0.2,0.0,0,93.7,0,0,0.0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0.00,0.0,N,15,42,69,0,0.20,0.04,0,6,0.02,N,N,0,0,0,0.0,0.00,0,0.00,0.00,0,0,0,0.00,0.0,0,0.00,0.0,0
"Swordfish, flesh only, grilled",75.5,3.67,22.9,5.2,0.0,139,583,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.20,0,0,0,0,0,0,0,2.10,0,0,0,1.40,0,0,0,0,0,0.00,52.0,170,450,5,34,340,0.60,N,N,170,0.03,57,N,N,0,N,N,N,0,0.19,0.20,9.5,4.3,13.8,0.59,5.0,N,0.50,N,0
"Swordfish, flesh only, grilled, weighed with bones and skin",67.2,3.27,20.4,4.6,0.0,123,519,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.10,0,0,0,0,0,0,0,1.90,0,0,0,1.20,0,0,0,0,0,0,46.0,150,400,5,31,300,0.60,N,N,150,0.02,51,N,N,0,N,N,N,0,0.17,0.17,8.5,3.8,12.8,0.52,5.0,N,0.44,N,0
"Swordfish, flesh only, raw",80.8,2.88,18.0,4.1,0.0,109,458,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.90,0,0,0,0,0,0,0,1.60,0,0,0,1.10,0,0,0,0,0,0,41.0,130,350,4,27,260,0.50,N,N,130,0.02,45,N,N,0,N,N,N,0,0.16,0.17,8.3,3.4,11.7,0.51,4.0,N,0.41,N,0
"Syrup, corn, dark",22.8,0.00,0.0,0.0,76.6,282,1181,N,0,28.1,14.9,0,1.2,2.2,9.8,0.0,0.0,0.0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0,0.0,160,44,18,8,11,0.40,0,0,N,0,0,0,0,0,0,0.0,0.00,0,0.01,0.01,0.0,0.0,0,0.01,0.0,0,0.02,0.0,0
"Syrup, golden",20.0,0.05,0.3,0.0,79.0,298,1269,0.0,0,79.0,23.1,0.0,23.0,32.8,0.0,0.0,0.0,0.0,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0.00,0.0,270,58,16,3,1,0.40,0.06,0.1,42,0.01,0,0,0,0,0,0.0,0.00,0,0,0,0,0,0,0,0.0,0,0,0,0
"Szechuan prawns with vegetables, takeaway",81.1,1.25,7.8,4.7,2.5,83,347,1.2,0.5,0.8,0.4,0,0.4,0,0,0,0.0,1.4,1.2,14.66,0.66,26.51,1.04,9.00,0.35,53.64,2.41,53.80,2.42,30.99,1.39,30.99,1.39,16.54,0.65,0.00,0.00,0.16,0,55.6,536,102,40,15,65,1.13,0.11,0.4,827,0,N,N,0,569,95,N,1.99,0,0.02,N,0.4,N,N,0.06,N,12,N,N,2
Tabouleh,73.9,0.45,2.6,4.6,17.2,119,497,16.5,0,0.7,0.3,0,0.3,0.0,0.0,0.0,0,N,N,0,0.29,0,0,0,0,0,0,0,2.47,0,0,0,1.24,0,0,0,0,0,0,0.0,4,140,27,34,80,1.82,0.13,N,16,N,N,N,0,259,43,0.0,N,0,0.12,0.04,1.1,N,1.1,N,0.0,N,N,N,13
Tahini paste,3.1,3.49,18.5,58.9,0.9,607,2508,0.5,0,0.4,0.1,0,0.1,0.2,0.0,0.0,0.0,8.0,N,0,8.40,0,0,0,0,0,0,0,22.00,0,0,0,25.80,0,0,0,0,0,N,0.0,20,580,680,380,730,10.60,1.48,5.4,10,1.50,N,N,0,6,1,0.0,2.57,0,0.94,0.17,5.1,4.1,9.2,0.76,0.0,99,2.17,11.0,0
"Tamarillos, flesh and seeds",86.5,0.32,2.0,0.3,4.7,28,120,0,0,4.7,1.1,0,1.2,2.4,0.0,0.0,0,N,0,0,0.10,0,0,0,0,0,0,0,0.10,0,0,0,0.10,0,0,0,0,0,0,0.0,1,300,10,19,43,0.80,0.05,0.1,29,0.10,0,N,0,920,155,0.0,1.86,0,0.06,0.03,0.3,0.3,0.6,0.19,0.0,N,N,N,23
Tamarind,35.8,0.37,2.3,0.3,56.5,238,1011,N,0,N,N,0,N,N,0.0,0.0,0,N,0,0,0.10,0,0,0,0,0,0,0,0.10,0,0,0,0.10,0,0,0,0,0,0,0.0,15,600,77,92,94,1.80,N,N,N,N,N,N,0,14,2,0.0,N,0,0.29,0.10,1.4,N,N,0.08,0.0,N,0.15,N,3
"Tamarind leaves, fresh",70.5,0.93,5.8,2.1,18.2,115,486,N,0,N,N,0.0,N,N,0.0,0.0,0,N,0,0,N,0,0,0,0,0,0,0,N,0,0,0,N,0,0,0,0,0,0,0.0,N,N,300,71,81,5.20,2.09,N,94,N,N,N,0,250,42,0.0,N,0,0.24,0.10,4.1,N,N,N,0.0,N,N,N,3
"Tamarind pulp, flesh only",25.8,0.51,3.2,0.3,64.5,273,1162,0,0,64.5,N,0.0,N,N,0.0,0.0,0,N,0,0,N,0,0,0,0,0,0,0,N,0,0,0,N,0,0,0,0,0,0,0.0,N,100,110,N,110,4.20,N,N,N,N,N,N,0,60,10,0.0,N,0,0.29,0.15,1.4,N,N,N,0.0,N,N,N,5
"Tannia, raw",70.5,0.20,1.3,0.4,24.5,107,453,24.3,0,0.2,0.1,0.0,0.1,0,0.0,0.0,0,2.3,0,0,N,0,0,0,0,0,0,0,N,0,0,0,N,0,0,0,0,0,0,0.0,4,480,14,22,55,0.60,0.18,0.6,40,0.50,N,N,0,29,5,0.0,N,0,0.02,0.05,0.3,0.3,0.6,N,0.0,N,N,N,16
"Tapioca, raw",12.2,0.07,0.4,0.1,95.0,359,1531,95.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.0,4,20,8,2,30,0.30,0.07,N,13,N,N,N,0,0,0,0.0,0,0,0,0,0,0.1,0.1,0,0.0,0,0,0,0
Taramasalata,35.9,0.51,3.2,52.9,7.4,517,2130,6.2,0,1.2,N,0,N,N,0,0,0.0,0,0.3,0,4.10,0,0,0,0,0,0,0,29.30,0,0,0,16.70,0,0,0,0,0,0,25.0,450,60,21,6,50,0.40,N,0.4,720,0.12,N,N,N,N,N,N,N,0,0.08,0.10,0.3,0.6,0.9,N,3.0,4,N,N,1
"Taro leaves, raw",85.7,0.70,4.4,0.9,2.6,35,150,0.4,0,2.2,N,0.0,N,N,0.0,0.0,0,N,0,0,0.20,0,0,0,0,0,0,0,0.10,0,0,0,0.40,0,0,0,0,0,0,0.0,3,650,110,45,60,2.30,0.32,0.9,60,1.80,N,N,0,6980,1160,0.0,N,0,0.21,0.46,1.5,0.7,2.2,N,0.0,39,N,N,52
"Taro leaves, steamed",92.1,0.38,2.4,0.5,1.4,19,82,0.2,0,1.2,N,0.0,N,N,0.0,0.0,0,N,0,0,0.10,0,0,0,0,0,0,0,0,0,0,0,0.20,0,0,0,0,0,0,0.0,2,360,86,20,27,1.20,0.18,0.5,33,1.00,N,N,0,3830,640,0.0,N,0,0.14,0.38,1.3,0.4,1.7,N,0.0,27,N,N,35
"Taro, baked",60.8,0.27,1.7,0.2,32.4,130,555,31.0,0,1.4,0.2,0.0,0.2,0.9,0,0.0,0,3.0,0,0,N,0,0,0,0,0,0,0,N,0,0,0,N,0,0,0,0,0,0,0.0,5,430,33,41,69,1.00,0.23,1.7,62,0.70,N,N,0,46,8,0.0,N,0,0.05,0.02,0.5,0.5,1,0.05,0.0,N,N,N,7
"Taro, boiled in unsalted water",72.9,0.19,1.2,0.2,22.4,91,386,21.5,0,0.9,0.2,0.0,0.2,0.6,0,0.0,0,2.1,0,0,N,0,0,0,0,0,0,0,N,0,0,0,N,0,0,0,0,0,0,0.0,3,200,27,31,56,0.80,0.18,1.3,37,0.50,N,N,0,32,5,0.0,N,0,0.05,0.02,0.5,0.3,0.8,0.05,0.0,N,N,N,7
"Taro, raw",68.3,0.22,1.4,0.2,26.2,106,451,25.1,0,1.1,0.2,0.0,0.2,0.7,0,0.0,0,2.4,0,0,N,0,0,0,0,0,0,0,N,0,0,0,N,0,0,0,0,0,0,0.0,4,360,25,33,58,0.80,0.20,1.3,50,0.50,N,N,0,37,6,0.0,N,0,0.08,0.03,0.7,0.4,1.1,0.08,0.0,N,N,N,13
"Taro, steamed",70.3,0.21,1.3,0.2,24.5,99,421,23.5,0,1.0,0.2,0.0,0.2,0.7,0,0.0,0,2.2,0,0,N,0,0,0,0,0,0,0,N,0,0,0,N,0,0,0,0,0,0,0.0,4,330,25,31,52,0.70,0.18,1.3,47,0.60,N,N,0,35,6,0.0,N,0,0.05,0.02,0.5,0.3,0.8,0.05,0.0,N,N,N,7
"Tarragon, dried, ground",7.7,3.64,22.8,7.2,42.8,295,1237,N,0,N,N,0.0,N,N,0.0,0.0,0,N,0,0,N,0,0,0,0,0,0,0,N,0,0,0,N,0,0,0,0,0,0,0.0,62,3020,1140,350,310,32.30,0.68,3.9,N,8.00,N,N,0,2520,420,0.0,N,0,0.25,1.34,8.9,N,N,N,0.0,0,N,N,0
"Tarragon, fresh",86.3,0.54,3.4,1.1,6.3,49,206,N,0,N,N,0.0,N,N,0.0,0.0,0,N,0,0,N,0,0,0,0,0,0,0,N,0,0,0,N,0,0,0,0,0,0,0.0,9,450,170,51,46,N,N,0.6,N,N,N,N,0,375,62,0.0,N,0,0.15,N,N,N,N,N,0.0,N,N,N,2
"Tart, bakewell, homemade",19.9,1.23,6.9,30.4,40.8,454,1894,18.1,0,22.7,3.6,0,1.9,16.0,1.2,0,0,1.8,1.5,0,8.80,0,0,0,0,0,0,0,14.93,0,0,0,4.99,0,0,0,0,0,0.03,45.9,212,168,75,41,117,1.10,0.15,0.7,300,0.37,4,N,N,85,N,N,N,0,0.07,0.16,0.7,1.4,2.1,0.05,0.4,11,0.31,11.3,2
"Tart, custard, large, homemade",50.3,0.97,5.8,17.4,25.2,275,1147,19.2,0,5.9,0.1,0,0,3.1,0.2,2.3,0,0.9,1.7,0,6.63,0,0,0,0,0,0,0,7.17,0,0,0,2.56,0,0,0,0,0,0.05,38.9,149,141,105,12,91,0.68,0.01,0.5,226,0.15,4,20,22,4,23,0.3,1.78,0,0.05,0.15,0.4,1.2,1.6,0.05,0.7,6,0.50,4.4,2
"Tart, mincemeat, one crust, homemade",18.4,0.55,3.1,17.9,56.4,385,1619,18.8,0,37.6,18.5,0,18.4,0.4,0.2,0,0.0,1.7,N,0,N,0,0,0,0,0,0,0,N,0,0,0,N,0,0,0,0,0,N,1.0,120,74,60,7,33,0.84,0.07,0.3,166,N,2,4,0,5,1,0,N,0,0.06,0.02,0.6,0.8,1.4,0.07,0,6,0.16,0.9,0
Tartare sauce,53.5,0.21,1.3,24.6,17.9,299,1241,1.7,0,16.2,6.5,0.0,6.3,3.4,0.0,0.0,0.0,0,0.6,0,N,0,0,0,0,0,0,0,N,0,0,0,N,0,0,0,0,0,N,49.0,1080,42,15,17,36,0.50,0.03,0.3,2080,0.00,1,8,24,150,49,0.2,10.10,0,0.02,0.02,0,0.3,0.3,0.02,0.0,4,0.12,1.0,2
"Tartlets, strawberry, homemade",60.7,0.41,2.4,10.1,27.2,202,848,19.6,0,7.7,1.0,0,1.0,5.6,0,0.1,0,1.1,2.2,0,6.18,0,0,0,0,0,0,0,2.51,0,0,0,0.48,0,0,0,0,0,0.33,24.8,86,101,31,10,38,0.56,0.05,0.2,184,0.26,1,5,112,71,124,0.1,0.48,0,0.06,0.02,0.6,0.5,1.1,0.04,0,22,0.20,0.8,19
"Tarts, bakewell, iced, retail",14.9,0.55,3.1,16.8,65.9,411,1729,20.7,0,45.2,3.5,0,1.1,35.5,5.2,0,0.0,1.1,1.1,43.20,6.94,12.65,2.03,3.36,0.54,40.10,6.42,40.21,6.43,16.00,2.58,16.00,2.58,43.16,6.94,0.04,0.01,0.10,0.02,3.6,132,117,69,12,73,0.58,0.12,0.3,180,0.24,2,0,0,0,0,0,2.03,0,0.06,0.04,0.6,0.7,1.3,0.03,0.1,6,0.25,2.5,1
"Tarts, custard, individual",49.5,1.07,6.7,14.3,28.7,263,1102,14.5,0,14.2,0.9,0,0,11.2,2.0,0,0.0,1.0,1.1,42.90,5.87,12.02,1.66,2.46,0.35,41.30,5.58,41.74,5.64,14.70,2.01,14.70,2.01,42.53,5.83,0.37,0.04,0.50,0.06,90.6,114,138,92,14,101,0.73,0.09,0.5,342,0.19,8,20,55,100,72,0,1.27,0,0.14,0.16,0.5,1.4,1.9,0.03,0,13,0.49,5.9,0
"Tarts, jam, homemade",20.6,0.59,3.4,16.8,58.0,382,1606,20.6,0,37.4,14.8,0,8.0,10.0,4.5,0,0.0,N,N,0,6.25,0,0,0,0,0,0,0,7.09,0,0,0,2.59,0,0,0,0,0,0.01,1.1,135,75,49,8,33,0.64,0.01,0.2,181,0.22,2,4,0,0,0,0.0,1.74,0,0.05,0.01,0.4,0.6,1.0,0.02,0.0,3,0.21,1.0,6
