name,display_name,emoji,recommend,water_g,nitrogen_g,protein_g,fat_g,carbohydrate_g,energy_kcal,energy_kJ,starch_g,oligosaccharide_g,sugar_g,glucose_g,galactose_g,fructose_g,sucrose_g,maltose_g,lactose_g,alcohol_g,non_starch_polysaccharide_g,fibre_g,saturated_fat_g,n_6_polyunsaturated_fat_g,n_3_polyunsaturated_fat_g,cis_monounsaturated_g,monounsaturated_fat_g,cis_polyunsaturated_fat_g,polyunsaturated_fat_g,branched_chain_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,potassium_mg,calcium_mg,magnesium_mg,phosphorus_mg,iron_mg,copper_mg,zinc_mg,chloride_mg,manganese_mg,selenium_ug,iodine_ug,retinol_ug,carotene_ug,retinol_equivalent_ug,vitamin_d_ug,vitamin_e_mg,vitamin_k1_ug,thiamin_mg,riboflavin_mg,niacin_mg,tryptophan_over_60_mg,niacin_equivalent_mg,vitamin_b6_mg,vitamin_b12_ug,folate_ug,pantothenate_mg,biotin_ug,vitamin_c_mg
unit,,,,g,g,g,g,g,kcal,kJ,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,ug,ug,ug,ug,ug,ug,mg,ug,mg,mg,mg,mg,mg,mg,ug,ug,mg,ug,mg
code,,,,WATER,TOTNIT,PROT,FAT,CHO,KCALS,KJ,STAR,OLIGO,TOTSUG,GLUC,GALACT,FRUCT,SUCR,MALT,LACT,ALCO,ENGFIB,AOACFIB,SATFOD,TOTn6PFOD,TOTn3PFOD,MONOFODc,MONOFOD,POLYFODc,POLYFOD,TOTBRFOD,FODTRANS,CHOL,NA,K,CA,MG,P,FE,CU,ZN,CL,MN,SE,I,RET,CAREQU,RETEQU,VITD,VITE,VITK1,THIA,RIBO,NIAC,TRYP60,NIACEQU,VITB6,VITB12,FOLT,PANTO,BIOT,VITC
detail,,,,Water,Total nitrogen,Protein,Fat,Carbohydrate,Energy (kcal),Energy (kJ),Starch,Oligosaccharide,Sugars,Glucose,Galactose,Fructose,Sucrose,Maltose,Lactose,Alcohol,Non-starch polysaccharide,AOAC fibre,Saturated fatty acids,Total n-6 polyunsaturated fatty acids,Total n-3 polyunsaturated fatty acids,cis-Monounsaturated fatty acids,Monounsaturated fatty acids,cis-Polyunsaturated fatty acids,Polyunsaturated fatty acids,Total branched chain,Total Trans fatty acids,Cholesterol,Sodium,Potassium,Calcium,Magnesium,Phosphorus,Iron,Copper,Zinc,Chloride,Manganese,Selenium,Iodine,Retinol,Carotene,Total retinol equivalent,Vitamin D,Vitamin E,Phylloquinone,Thiamin,Riboflavin,Niacin,Tryptophan divided by 60,Niacin equivalent,Vitamin B6,Vitamin B12,Folate,Pantothenate,Biotin,Vitamin C
"Apples, cooking, baked without sugar, flesh only",Baked Cooking Apples,🍎,TRUE,85,0.02,0.2,0.4,11.4,47,201,0,0,11.4,2.5,0,7,1.9,0,0,0,1.5,2,0.07,0,0,0,0.04,0,0.15,0,0,0,1,103,3,3,8,0.12,0.04,0,86,0.02,0,4,0,0,0,0,0.13,0,0.02,0.04,0.2,0.1,0.3,0.06,0,0,0.13,1.2,15
"Apples, cooking, baked without sugar, flesh only, weighed with skin",Baked Cooking Apples (with skin),🍎,TRUE,71.4,0.02,0.2,0.3,9.6,40,168,0,0,9.6,2.1,0,5.9,1.6,0,0,0,1.3,1.7,0.06,0,0,0,0.03,0,0.13,0,0,0,1,87,3,3,7,0.1,0.03,0,72,0.02,0,3,0,0,0,0,0.13,0,0.02,0.03,0.2,0.1,0.3,0.05,0,0,0.11,1,13
"Apples, cooking, raw, flesh only, peeled",Peeled Cooking Apples,🍎,TRUE,87.7,0.05,0.3,0.3,8.9,37,159,0,0,8.9,2,0,5.9,1,0,0,0,1.6,1.7,0.06,0,0,0,0.03,0,0.13,0,0,0,2,88,4,3,7,0.1,0.02,0,N,0.02,0,4,0,0,0,0,0.12,0,0.04,0.02,0.1,0.1,0.2,0.06,0,5,0,1.2,14
"Apples, cooking, raw, flesh only, weighed with skin and core",Raw Cooking Apples,🍎,TRUE,64,0.04,0.2,0.2,6.5,27,116,0,0,6.4,1.5,0,4.3,0.7,0,0,0,1.2,1.2,0.04,0,0,0,0.02,0,0.09,0,0,0,1,64,3,2,5,0.07,0.01,0,N,0,0,3,0,0,0,0,0.09,0,0.01,0.07,0.1,N,N,0.04,0,0,N,0.9,10
"Apples, cooking, stewed with sugar, flesh only",Stewed Cooking Apples with Sugar,🍎,TRUE,77.5,0.03,0.2,0.3,20.8,81,346,0,0,20.8,3.1,0,6.7,11,0,0,0,1,1.4,0.06,0,0,0,0.03,0,0.13,0,0,0,1,81,3,3,6,0.1,0.03,0,73,0.02,0,4,0,0,0,0,0.1,0,0.02,0.03,0.2,0.1,0.3,0.05,0,0,0.11,0.9,11
"Apples, cooking, stewed without sugar, flesh only",Stewed Cooking Apples,🍎,TRUE,87.3,0.02,0.2,0.3,9.7,40,169,0,0,9.7,2.1,0,5.9,1.7,0,0,0,1.3,1.7,0.06,0,0,0,0.03,0,0.13,0,0,0,1,87,3,3,7,0.1,0.03,0,73,0.02,0,4,0,0,0,0,0.11,0,0.02,0.03,0.2,0.1,0.3,0.05,0,0,0.11,1,12
"Apples, eating, dried",Dried Eating Apples,🍎,TRUE,21.6,0.32,2,0.5,60.1,238,1014,0,0,60.1,8.6,0,31.7,19.9,0,0,0,9.7,0,0.1,0,0,0,0,0,0.3,0,0,0,16,540,16,16,43,0.5,0.11,0.5,1,0.5,0,0,0,91,15,0,1.45,0,N,N,N,0.3,N,N,0,0,0,N,0
"Apples, eating, raw, flesh and skin",Fresh Eating Apples,🍎,TRUE,86.2,0.1,0.6,0.5,11.6,51,215,0,0,11.6,2.1,0,6.7,2.8,0,0,0,1.3,1.2,0.12,0,0,0,0.04,0,0.2,0,0,0,1,100,5,4,8,0.09,0.03,0,44,0.04,0,4,0,14,2,0,0.09,5.6,0.04,0.04,0.1,0,0.1,0.07,0,0,0.1,1.1,6
"Apples, eating, raw, flesh and skin, weighed with core",Whole Fresh Eating Apples,🍎,TRUE,75,0.08,0.5,0.4,10,43,183,0,0,10,1.8,0,5.8,2.4,0,0,0,1.1,1,0.1,0,0,0,0.03,0,0.17,0,0,0,1,87,5,4,7,0.08,0.03,0,38,0.03,0,4,0,12,2,0,0.08,4.87,0.03,0.03,0.1,0,0.1,0.06,0,0,0.09,1,5
"Apricots, dried",Dried Apricots,🍑,TRUE,14.7,0.77,4.8,0.7,43.4,188,802,0,0,43.4,20.8,0,10,12.6,0,0,0,7.7,0,N,0,0,0,N,0,N,0,0,0,56,1880,92,65,120,4.1,0.4,0.7,35,0.4,7,N,0,645,105,0,N,0,0,0.2,3,0.6,3.6,0.17,0,14,0.7,N,0
