name,display_name,emoji,recommend,water_g,nitrogen_g,protein_g,fat_g,carbohydrate_g,energy_kcal,energy_kJ,starch_g,oligosaccharide_g,sugar_g,glucose_g,galactose_g,fructose_g,sucrose_g,maltose_g,lactose_g,alcohol_g,non_starch_polysaccharide_g,fibre_g,saturated_fat_g,n_6_polyunsaturated_fat_g,n_3_polyunsaturated_fat_g,cis_monounsaturated_g,monounsaturated_fat_g,cis_polyunsaturated_fat_g,polyunsaturated_fat_g,branched_chain_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,potassium_mg,calcium_mg,magnesium_mg,phosphorus_mg,iron_mg,copper_mg,zinc_mg,chloride_mg,manganese_mg,selenium_ug,iodine_ug,retinol_ug,carotene_ug,retinol_equivalent_ug,vitamin_d_ug,vitamin_e_mg,vitamin_k1_ug,thiamin_mg,riboflavin_mg,niacin_mg,tryptophan_over_60_mg,niacin_equivalent_mg,vitamin_b6_mg,vitamin_b12_ug,folate_ug,pantothenate_mg,biotin_ug,vitamin_c_mg
unit,,,,g,g,g,g,g,kcal,kJ,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,ug,ug,ug,ug,ug,ug,mg,ug,mg,mg,mg,mg,mg,mg,ug,ug,mg,ug,mg
code,,,,WATER,TOTNIT,PROT,FAT,CHO,KCALS,KJ,STAR,OLIGO,TOTSUG,GLUC,GALACT,FRUCT,SUCR,MALT,LACT,ALCO,ENGFIB,AOACFIB,SATFOD,TOTn6PFOD,TOTn3PFOD,MONOFODc,MONOFOD,POLYFODc,POLYFOD,TOTBRFOD,FODTRANS,CHOL,NA,K,CA,MG,P,FE,CU,ZN,CL,MN,SE,I,RET,CAREQU,RETEQU,VITD,VITE,VITK1,THIA,RIBO,NIAC,TRYP60,NIACEQU,VITB6,VITB12,FOLT,PANTO,BIOT,VITC
detail,,,,Water,Total nitrogen,Protein,Fat,Carbohydrate,Energy (kcal),Energy (kJ),Starch,Oligosaccharide,Sugars,Glucose,Galactose,Fructose,Sucrose,Maltose,Lactose,Alcohol,Non-starch polysaccharide,AOAC fibre,Saturated fatty acids,Total n-6 polyunsaturated fatty acids,Total n-3 polyunsaturated fatty acids,cis-Monounsaturated fatty acids,Monounsaturated fatty acids,cis-Polyunsaturated fatty acids,Polyunsaturated fatty acids,Total branched chain,Total Trans fatty acids,Cholesterol,Sodium,Potassium,Calcium,Magnesium,Phosphorus,Iron,Copper,Zinc,Chloride,Manganese,Selenium,Iodine,Retinol,Carotene,Total retinol equivalent,Vitamin D,Vitamin E,Phylloquinone,Thiamin,Riboflavin,Niacin,Tryptophan divided by 60,Niacin equivalent,Vitamin B6,Vitamin B12,Folate,Pantothenate,Biotin,Vitamin C
"Rice, savoury, including chicken, beef, mushroom and vegetable varieties, dried, uncooked","Uncooked Savory Rice (Chicken, Beef, Mushroom, Vegetable)",🍚,FALSE,6.2,1.35,8,2.7,83.3,369,1569,71.6,4.9,6.7,0.9,0,1.1,3.3,0,1.4,0,3,3.6,0.91,0.5,0.03,1.03,1.14,0.52,0.54,0,0.13,0.6,1231,373,40,42,216,1.01,0.24,1.2,1802,1.02,14,3,0,554,92,0,1.23,0,0.33,0.21,2.8,2.1,4.9,0.22,0,48,0.62,5.1,5
"Risotto, chicken, homemade",Homemade Chicken Risotto,🍗,FALSE,59.4,1.43,8.9,3.3,25.3,173,725,N,0,N,N,0,0.3,N,0,0,0,N,0.8,1.54,0,0,0,0.87,0,0.31,0,0.07,29.4,355,165,22,19,98,0.44,0.09,0.9,84,0.28,5,N,27,30,32,0,0.15,0,0.08,0.06,2.5,1.9,4.4,N,0,N,N,N,1
"Rock Salmon/Dogfish, in batter, fried in blended oil",Rock Salmon/Dogfish Fried in Batter (Blended Oil),🐟,FALSE,51.3,2.83,14.7,21.9,10.3,295,1225,10.3,0,0,0,0,0,0,0,0,0,0.4,0,2.9,0,0,0,8,0,9.9,0,N,N,160,230,44,18,190,0.5,0.08,0.4,170,0.14,22,N,94,0,94,N,N,0,0.07,0.08,3.2,2.8,6,0.21,N,4,0.57,12,0
"Rock Salmon/Dogfish, in batter, fried in blended oil, weighed with bones",Rock Salmon/Dogfish Fried in Batter with Bone (Blended Oil),🐟,FALSE,47.7,2.63,13.7,20.4,9.6,274,1139,9.6,0,0,0,0,0,0,0,0,0,0.4,0,2.7,0,0,0,7.4,0,9.2,0,N,N,150,210,41,17,180,0.5,0.07,0.4,160,0.13,20,N,87,0,87,N,N,0,0.07,0.07,3,2.6,5.6,0.2,N,4,0.53,11,0
"Rock Salmon/Dogfish, in batter, fried in dripping",Rock Salmon/Dogfish Fried in Batter (Dripping),🐟,FALSE,51.3,2.83,14.7,21.9,10.3,295,1225,10.3,0,0,0,0,0,0,0,0,0,0.4,0,9.6,0,0,0,8.1,0,3.1,0,N,N,160,230,44,18,190,0.5,0.08,0.4,170,0.14,22,N,N,N,N,N,N,0,0.07,0.08,3.2,2.8,6,0.21,N,4,0.57,12,0
"Rock Salmon/Dogfish, in batter, fried in dripping, weighed with bones",Rock Salmon/Dogfish Fried in Batter with Bone (Dripping),🐟,FALSE,47.7,2.63,13.7,20.4,9.6,274,1139,9.6,0,0,0,0,0,0,0,0,0,0.4,0,8.9,0,0,0,7.6,0,2.9,0,N,N,150,210,41,17,180,0.5,0.07,0.4,160,0.13,20,N,N,N,N,N,N,0,0.07,0.07,3,2.6,5.6,0.2,N,4,0.53,11,0
"Rock Salmon/Dogfish, in batter, fried in retail blend oil",Rock Salmon/Dogfish Fried in Batter (Retail Blend Oil),🐟,FALSE,51.3,2.83,14.7,21.9,10.3,295,1225,10.3,0,0,0,0,0,0,0,0,0,0.4,0,5.3,0,0,0,9.3,0,6.2,0,0,N,160,230,44,18,190,0.5,0.08,0.4,170,0.14,22,N,94,0,94,N,N,0,0.07,0.08,3.2,2.8,6,0.21,N,4,0.57,12,0
"Rock Salmon/Dogfish, in batter, fried in retail blend oil, weighed with bones",Rock Salmon/Dogfish Fried in Batter with Bone (Retail Blend Oil),🐟,FALSE,47.7,2.63,13.7,20.4,9.6,274,1139,9.6,0,0,0,0,0,0,0,0,0,0.4,0,4.9,0,0,0,8.6,0,5.8,0,0,N,150,210,41,17,180,0.5,0.07,0.4,160,0.13,20,N,87,0,87,N,N,0,0.07,0.07,3,2.6,5.6,0.2,N,4,0.53,11,0
"Rock Salmon/Dogfish, in batter, fried in sunflower oil",Rock Salmon/Dogfish Fried in Batter (Sunflower Oil),🐟,FALSE,51.3,2.83,14.7,21.9,10.3,295,1225,10.3,0,0,0,0,0,0,0,0,0,0.4,0,3.1,0,0,0,5.6,0,12,0,0,N,160,230,44,18,190,0.5,0.08,0.4,170,0.14,22,N,94,0,94,N,N,0,0.07,0.08,3.2,2.8,6,0.21,N,4,0.57,12,0
"Rock Salmon/Dogfish, in batter, fried in sunflower oil, weighed with bones",Rock Salmon/Dogfish Fried in Batter with Bone (Sunflower Oil),🐟,FALSE,47.7,2.63,13.7,20.4,9.6,274,1139,9.6,0,0,0,0,0,0,0,0,0,0.4,0,2.9,0,0,0,5.2,0,11.2,0,0,N,150,210,41,17,180,0.5,0.07,0.4,160,0.13,20,N,87,0,87,N,N,0,0.07,0.07,3,2.6,5.6,0.2,N,4,0.53,11,0
"Rock Salmon/Dogfish, raw",Raw Rock Salmon/Dogfish,🐟,FALSE,68.3,3.24,16.6,9.7,0,154,641,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,2.6,0,2.7,0,0,76,120,290,8,21,230,0.9,0.04,0.4,N,0.02,55,N,190,0,190,9.1,N,0,0.17,0.29,2.9,3.1,6,0.37,5,3,0.75,N,0
"Roe, cod, hard, coated in batter, fried",Fried Cod Roe in Batter,🐟,FALSE,64.4,1.98,12.4,11.8,8.9,189,790,8.9,0,0,0,0,0,0,0,0,0,0.2,0,N,0,0,0,N,0,N,0,0,N,510,270,67,27,210,1.4,0.13,1.5,790,0.44,25,N,N,N,N,N,N,0,0.09,0.22,0.6,2.3,2.9,0.08,N,22,1.57,8,0
"Roe, cod, hard, raw",Raw Cod Roe,🐟,FALSE,73.7,3.47,21.7,1.9,0,104,439,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.05,0.49,0.37,0.4,0.55,0.6,0,0,330,110,170,11,9,320,1,0.24,3.5,220,0.12,N,N,79,0,79,18,6.2,0,0.78,0.49,1,4.1,5.2,0.32,10,N,3,13,0
"Roe, herring, soft, raw",Raw Herring Roe,🐟,FALSE,80,2.98,16.8,2.6,0,91,382,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.05,0.65,0.6,0.6,0.7,0.7,0,0,575,120,200,5,5,620,0.5,0.07,0.8,180,0.01,N,N,N,0,N,4,2.8,0,0,0.29,1.3,3.1,4.4,N,5,N,0.49,N,0
"Rohu, raw",Raw Rohu,🍛,FALSE,76.7,2.66,16.6,1.4,0,79,334,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,N,0,N,0,0,N,100,290,N,13,180,1,0.13,N,N,N,N,N,0,0,0,0,N,0,0.05,0.07,0.7,3.1,3.8,N,5,N,N,N,0
Salad cream,Salad Cream,🥗,FALSE,50.1,0.23,1.5,26.7,21.2,326,1353,4.5,0,16.7,1.9,0,1.9,12.9,0,0,0,N,0.5,N,0,0,0,N,0,N,0,N,43,700,40,18,9,48,0.5,0.02,0.3,1090,0.1,N,11,9,17,12,0.2,13.58,0,N,N,N,0.3,N,0.03,0.5,3,N,N,0
"Salad cream, reduced fat",Reduced-fat Salad Cream,🥗,FALSE,72.4,0.16,1,10.6,15.5,157,657,6.3,0,9.2,2.5,0,2.3,4.4,0,0,0,N,0.5,1.57,5.46,0.17,2.89,2.89,5.63,5.63,0,0,4.3,530,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,N,N,0.2,N,N,N,N,N,N,0
Salami,Salami,🍖,FALSE,33.7,3.34,20.9,39.2,0.5,438,1814,0,0,0.5,0.1,0,0,0,0,0.4,0,0.1,0.4,14.6,4.1,0.37,17.4,17.7,4.47,4.4,0,0.15,83,1530,320,11,18,170,1.3,0.12,3,2780,0.04,7,15,0,0,0,N,0.23,1.11,0.6,0.23,5.6,2.8,8.4,0.36,2,3,1.66,7,N
Salami snack,Salami Snack,🍖,FALSE,23.5,4.02,25.1,44,1.9,504,2085,0,0,1.9,1.9,0,0,0,0,0,0,N,0.5,16.79,3.99,0.33,19.66,19.89,4.31,4.39,0.12,0.25,N,1600,330,11,19,180,2.2,0.11,3.9,2380,0.18,N,N,0,0,0,N,1.77,0,0.27,0.16,5.5,2.2,7.7,0.27,2,1,1.19,6,N
"Salmis of pheasant, homemade",Homemade Salmis of Pheasant,🍛,FALSE,79.7,1.59,9.9,5.6,2.4,106,444,0.9,0,1.4,0.4,0,0.4,0.6,0,N,0.9,0.4,N,N,0,0,0,N,0,N,0,N,75.3,219,168,17,12,82,0.91,0.05,0.5,N,0.03,N,N,N,N,N,N,N,0,0.03,0.11,3.3,2.1,5.4,0.22,1,8,0.38,N,4
"Salmon en croute, retail",Retail Salmon en Croute,🐟,FALSE,49.3,1.93,11.8,19.1,18,288,1202,17.1,0,0.9,0.1,0,0,0.1,0.5,0.2,0,N,N,N,0,0,0,N,0,N,0,N,31,190,200,47,18,140,0.6,0.08,0.5,320,0.13,N,N,30,13,32,3.4,N,0,0.13,0.07,2.5,2.3,4.8,0.31,2,12,N,N,0
"Salmon, farmed, flesh only, baked",Baked Farmed Salmon Fillets,🐟,FALSE,59.7,4.03,25.2,14.6,0,232,969,0,0,0,0,0,0,0,0,0,0,0,0,2.76,0.74,3.1,5.78,5.78,3.89,3.89,0.07,0,67.2,49,412,11,30,262,0.45,0.05,0.6,86,0.05,20,14,17,0,17,7.3,3.7,0,0.26,0.09,8.6,4.2,12.8,0.14,2.5,8,1.5,3,0
"Salmon, farmed, flesh only, grilled",Grilled Farmed Salmon Fillets,🐟,FALSE,60.4,3.94,24.6,15.6,0,239,995,0,0,0,0,0,0,0,0,0,0,0,0,2.95,0.79,3.31,6.18,6.18,4.16,4.16,0.08,0,71.8,49,412,11,30,262,0.45,0.05,0.6,86,0.05,20,14,18,0,18,7.8,3.94,0,0.21,0.1,8.6,4.2,12.8,0.16,3.4,9,1.5,2.4,0
"Salmon, farmed, flesh only, grilled, weighed with bones and skin",Grilled Farmed Salmon Fillets with Bone and Skin,🐟,FALSE,52.5,3.43,21.4,13.6,0,208,867,0,0,0,0,0,0,0,0,0,0,0,0,2.57,0.69,2.88,5.38,5.38,3.62,3.62,0.07,0,62.5,43,358,9,26,228,0.39,0.04,0.5,75,0.04,17,12,16,0,16,6.8,3.43,0,0.18,0.09,7.5,3.6,11.1,0.14,3,8,1.31,2.1,0
"Salmon, farmed, flesh only, raw",Raw Farmed Salmon Fillets,🐟,FALSE,65.5,3.26,20.4,15,0,217,902,0,0,0,0,0,0,0,0,0,0,0,0.2,2.77,0.76,3.25,6,6,4.06,4.06,0.08,0,67.5,43,357,10,26,226,0.33,0.05,0.4,59,0.09,18,12,16,1,16,4.7,3.95,0,0.45,0.07,7.7,3.4,11.1,0.21,4.4,5,1.2,1,0
"Salmon, farmed, flesh only, steamed",Steamed Farmed Salmon Fillets,🐟,FALSE,58.9,3.78,23.6,18.5,0,261,1086,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.94,3.93,7.33,7.33,4.93,4.93,0.09,0,85.2,51,425,11,31,269,0.39,0.06,0.5,70,0.11,21,14,21,0,21,9.3,4.7,0,0.21,0.08,7.7,4.5,12.8,0.17,2.1,6,1.3,2.3,0
"Salmon, farmed, flesh only, steamed, fillets weighed with bones and skin",Steamed Farmed Salmon Fillets with Bone and Skin,🐟,FALSE,51.2,3.29,20.5,16.1,0,227,944,0,0,0,0,0,0,0,0,0,0,0,0,3.04,0.82,3.42,6.38,6.38,4.29,4.29,0.08,0,74.1,45,370,10,27,234,0.34,0.05,0.5,61,0.09,18,12,21,0,21,9.3,4.7,0,0.21,0.08,7.7,4.5,12.2,0.17,2.1,6,1.3,2.3,0
"Salmon, pink, canned in brine, drained",Canned Pink Salmon,🥫,FALSE,71.4,3.78,23.6,4.8,0,138,579,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0.11,1.34,1.71,1.72,1.45,1.45,0,0.01,61,352,326,109,25,234,0.83,0.07,0.7,500,0.01,34,18,12,0,12,13.6,0.76,0,0.02,0.21,7.4,6,13.4,0.19,4.7,19,0.68,4.9,0
"Salmon, red, canned in brine, drained",Canned Red Salmon,🥫,FALSE,66.5,3.76,23.5,7.3,0,160,670,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0.15,1.65,3.01,3.02,1.8,1.8,0,0.01,62,430,305,164,29,291,0.68,0.06,0.8,670,0.02,37,22,7,0,7,10.9,1.65,0,0.03,0.21,7.6,6.1,13.7,0.2,4.9,14,0.88,4.1,0
"Salmon, red, canned in brine, skinless and boneless, drained",Skinless Boneless Canned Red Salmon,🥫,FALSE,68.5,3.71,23.2,6.7,0,153,642,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0.15,1.5,2.75,2.76,1.65,1.65,0,0.01,61,379,304,6,27,214,0.6,0.07,0.5,580,0.01,38,24,10,0,10,11.8,1.47,0,0.04,0.22,6.9,6.1,13,0.23,4.5,12,0.82,4.9,0
"Salmon, smoked (cold-smoked)",Cold-smoked Salmon,🐟,FALSE,64.5,3.65,22.8,10.1,0.5,184,769,0,0,0.5,0,0,0,0,0.5,0,0,0,0,2.15,0.66,2.18,3.1,3.11,2.84,2.84,0,0.01,45,1184,442,8,31,266,0.23,0.02,0.4,1480,0.01,19,9,28,0,28,8.9,2.03,0,0.43,0.12,8.3,5.4,13.7,0.73,3.2,15,1.22,5.2,0
"Salmon, smoked (hot-smoked)",Hot-smoked Salmon,🐟,FALSE,60.1,4.06,25.4,8.8,1.3,186,778,0,0,1.3,0,0,0,0.8,0.4,0,0,0,0,1.94,0.64,2.28,2.63,2.63,2.92,2.92,0,0.01,72,848,460,8,32,293,0.34,0.05,0.5,1200,0.01,24,9,28,0,28,11,2.29,0,0.41,0.16,9.5,6.5,16,0.51,4.2,14,1.35,4,0
"Salmon, wild, baked",Baked Wild Salmon Fillets,🐟,FALSE,61,4.24,26.5,12.1,0,215,898,0,0,0,0,0,0,0,0,0,0,0,0,2.53,0.31,2.64,4.86,4.86,3,3,0.05,0,61.1,58,458,18,35,300,0.61,0.08,0.6,100,0,32,15,32,0,32,10.3,1.33,0,0.16,0.1,9.4,3.5,12.9,0.17,7,1,1.25,2.3,0
"Salmon, wild, flesh only, raw",Raw Wild Salmon Fillets,🐟,FALSE,67.5,3.53,22.1,10.1,0,179,749,0,0,0,0,0,0,0,0,0,0,0,0,2.11,0.26,2.2,4.05,4.05,2.5,2.5,0.04,0,50.9,48,382,15,29,250,0.51,0.07,0.5,83,0,27,12,27,0,27,8.6,1.11,0,0.19,0.1,9.8,2.9,12.7,0.16,6.5,1,1.3,2.1,0
"Salmon, wild, grilled",Grilled Wild Salmon Fillets,🐟,FALSE,61.9,4.14,25.9,11.8,0,210,877,0,0,0,0,0,0,0,0,0,0,0,0,2.47,0.3,2.58,4.75,4.75,2.93,2.93,0.05,0,59.7,56,448,18,34,293,0.6,0.08,0.6,97,0,32,14,32,0,32,10.1,1.3,0,0.2,0.12,10.3,3.4,14.9,0.17,7.6,1,1.45,2.5,0
"Salmon, wild, steamed",Steamed Wild Salmon Fillets,🐟,FALSE,62.8,4.04,25.3,11.6,0,206,859,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0.3,2.52,4.64,4.64,2.86,2.86,0.05,0,58.3,55,437,17,34,286,0.58,0.08,0.6,95,0,31,14,31,0,31,9.8,1.27,0,0.2,0.11,10.1,3.4,13.5,0.18,7.4,1,1.19,2.2,0
"Salted fish, Chinese, bones removed, steamed",Steamed Salted Chinese Fish (Bones Removed),🐟,FALSE,47.6,5.42,33.9,2.2,0,155,658,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,N,0,N,0,0,N,5560,480,69,64,270,1.3,0.24,0.7,8320,0.08,N,N,0,0,0,0,N,0,0,0.11,4.1,6.3,10.4,N,5,8,N,N,0
"Samosas, lamb, baked, homemade",Homemade Baked Lamb Samosas,🍖,FALSE,46.1,1.81,11.1,17.5,23.1,288,1200,20.8,0,1.6,0.4,0,0.3,0.6,0,0,0,1.7,2.3,3.39,0,0,0,9.07,0,3.81,0,0.44,30.9,40,300,41,23,130,1.55,0.1,1.8,100,0.3,2,7,2,79,15,0.3,2.85,0,0.22,0.08,2.2,2.2,2.2,0.19,0.6,9,0.44,1.2,4
"Samosas, lamb, deep fried in rapeseed oil, homemade",Homemade Deep-fried Lamb Samosas,🍖,FALSE,41.8,1.32,8.1,31.5,16.9,379,1570,15.2,0,1.2,0.3,0,0.2,0.4,0,0,0,1.2,1.7,3.72,0,0,0,17.76,0,8.28,0,0.32,22.6,29,219,30,17,95,1.15,0.07,1.3,73,0.22,1,7,1,58,11,0.2,6.25,0,0.16,0.06,1.6,1.6,3.2,0.14,0.5,7,0.32,0.9,3
"Sandwich, white bread, bacon, lettuce and tomato",White Bread BLT Sandwich,🥪,FALSE,51.5,1.39,8.2,11.9,24.1,230,965,21.7,0,2.4,0.2,0,0.4,0.1,1.6,0,0,1.2,1.5,2.46,0,0,0,5.41,0,3.1,0,0.01,16.6,477,177,95,17,84,0.97,0.09,0.7,795,0.28,5,4,30,66,41,0.3,2.66,0,0.34,0.08,2.2,1.7,3.9,0.14,0.2,23,0.49,1.1,3
"Sandwich, white bread, cheddar cheese and pickle",White Bread Cheddar and Pickle Sandwich,🥪,FALSE,41.4,1.97,12,14.4,27.7,282,1184,23.1,0,4.6,0.9,0,1.1,0.9,1.7,0,0,1.1,1.5,7.42,0,0,0,3.92,0,1.86,0,0.45,29.6,591,107,321,22,206,1.01,0.08,1.7,883,0.29,5,11,141,94,157,0.4,1.46,0,0.14,0.16,0.9,3.1,4,0.09,0.7,23,0.38,1.7,0
"Sandwich, white bread, chicken salad",White Bread Chicken Salad Sandwich,🥪,FALSE,58.7,1.78,10.7,4.9,22.5,172,725,20.4,0,2.1,0.2,0,0.4,0,1.5,0,0,1.1,1.4,1.16,0,0,0,1.66,0,1.58,0,0.03,26,235,196,91,20,105,0.99,0.1,0.8,414,0.27,7,4,26,64,37,0.3,1.15,0,0.15,0.08,3.2,2.3,5.5,0.14,0,22,0.61,1.3,3
"Sandwich, white bread, egg mayonnaise",White Bread Egg Mayonnaise Sandwich,🥪,FALSE,47.5,1.49,8.8,11.2,28.5,243,1020,26.2,0,2.2,0,0,0.1,0.1,2,0,0,1.2,1.5,1.89,0,0,0,5,0,3.19,0,0.02,102.6,323,124,124,18,115,1.54,0.11,0.9,553,0.31,11,17,66,21,69,1.1,3.1,0,0.17,0.18,1,2.2,3.2,0.08,0.6,24,0.61,5,0
"Sandwich, white bread, tuna mayonnaise",White Bread Tuna Mayonnaise Sandwich,🥪,FALSE,48.7,2.08,12.5,10.2,25.3,237,994,23.2,0,2.1,0,0,0.1,0.1,1.7,0,0,1,1.4,1.29,0,0,0,4.95,0,3.19,0,0.01,20.4,350,151,100,21,108,1.38,0.1,0.7,617,0.27,26,7,40,19,43,0.6,3.15,0,0.13,0.09,4.2,3.1,7.3,0.15,1.1,15,0.3,1.3,0
"Sardines, canned in brine, drained",Canned Sardines in Brine (Drained),🥫,FALSE,66.1,3.54,22.1,9.1,0,170,712,0,0,0,0,0,0,0,0,0,0,0,0,2.61,0.23,2.5,2.29,2.3,2.73,2.73,0,0.01,66,368,287,679,42,545,2.73,0.13,2.2,560,0.18,41,26,10,0,10,3.3,0.24,0,0.01,0.22,5.5,4.2,9.7,0.07,10.8,4,0.64,4.7,0
"Sardines, canned in olive oil, drained",Canned Sardines in Olive Oil (Drained),🥫,FALSE,58.6,3.73,23.3,14.1,0,220,918,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0.6,2.54,5.94,5.95,3.14,3.14,0,0.01,66,400,410,500,46,520,2.3,0.11,2.2,550,0.19,49,23,11,N,N,3.6,0.52,0,0.01,0.29,6.9,4.4,11.3,0.18,15,8,0.89,5,0
"Sardines, canned in sunflower oil, drained",Canned Sardines in Sunflower Oil (Drained),🥫,FALSE,58.6,3.73,23.3,14.1,0,220,918,0,0,0,0,0,0,0,0,0,0,0,0,3.21,3.39,2.51,3.32,3.33,5.89,5.89,0,0.01,66,400,410,500,46,520,2.3,0.11,2.2,550,0.19,49,23,11,0,11,3.6,2.73,0,0.01,0.29,6.9,4.4,11.3,0.18,15,8,0.89,5,0
"Sardines, canned in tomato sauce, whole contents",Canned Sardines in Tomato Sauce,🍅,FALSE,67.3,2.96,18.5,10.8,0.9,175,729,0,0,0.9,0.3,0,0.6,0,0,0,0,0,0,2.89,0.51,2.98,2.7,2.71,3.49,3.49,0,0.01,71,315,371,455,38,417,2.69,0.12,2,480,0.18,39,26,10,276,56,3.3,1.84,0,0.03,0.22,5.5,5.2,10.7,0.25,8.9,4,0.63,5.9,0
"Sardines, flesh only, grilled",Grilled Sardine Fillets,🐟,FALSE,67.2,4.06,25.4,7.8,0,172,720,0,0,0,0,0,0,0,0,0,0,0,0,2.35,0.31,1.69,2.3,2.31,2,2,0,0.01,65.1,174,496,63,40,329,1.99,0.17,0.9,256,0.04,65,101,13,0,13,5.1,0.4,0,0,0.39,11.6,6.8,18.4,0.36,10.6,9,0.84,12.4,0
"Sardines, flesh only, grilled, weighed with skin and bones",Grilled Sardine Fillets with Skin and Bones,🐟,FALSE,42.3,2.56,16,4.9,0,108,453,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0.19,1.06,1.45,1.46,1.26,1.26,0,0.01,41,110,312,40,25,207,1.25,0.1,0.6,161,0.02,41,64,8,0,8,3.2,0.25,0,0,0.25,7.3,4.3,11.6,0.23,6.7,6,0.53,7.8,0
"Sardines, flesh only, raw",Raw Sardine Fillets,🐟,FALSE,74.4,3.17,19.8,6.1,0,134,562,0,0,0,0,0,0,0,0,0,0,0,0,1.83,0.24,1.32,1.8,1.8,1.56,1.56,0,0.01,51,136,387,50,32,257,1.55,0.13,0.7,200,0.03,51,79,10,0,10,4,0.31,0,0,0.34,10.1,5.3,15.4,0.31,8.3,7,0.69,9.7,0
"Sauce, cheese, packet mix, dry",Dry Cheese Sauce Packet Mix,🧀,FALSE,3.9,3.08,19.3,28.4,40.9,486,2033,35.3,0,5.6,0,0,0,0.3,0,5.3,0,N,1.7,17.6,0,0,0,N,0,N,0,0,N,2700,330,430,36,730,0.8,0,2.5,3650,0.3,N,N,140,150,165,0.5,N,0,0.12,0.58,0.9,4.1,5,0.26,1.3,46,N,N,0
"Sauce, curry, onion, with butter, homemade",Homemade Curry Onion Sauce with Butter,🍛,FALSE,64.4,0.19,1.2,24.7,6.6,252,1043,0,0,4.4,1.6,0,1.2,1.4,0,0.2,0,1.5,1.6,15.49,0,0,0,6.22,0,0.89,0,0.85,63.4,228,152,41,13,31,1.41,N,0.2,383,0.17,N,14,285,195,318,0.3,0.77,2.2,0.07,0.04,0.3,0.3,0.3,0.12,0.1,6,0.08,0.6,3
"Sauce, pasta, four cheese",Four Cheese Pasta Sauce,🍝,FALSE,76.7,0.8,5.1,9.7,5.8,129,538,3.9,0,1.9,0,0,0,N,0,N,0,0.9,1.3,5.73,0.36,0.14,2.53,2.8,0.51,0.62,0,0.32,23,325,70,169,10,149,0.13,0,0.7,416,0.04,3,18,87,49,95,0,0.55,0,0,0.11,0.1,1.1,1.2,0.15,0,6,0.2,1,0
"Sausage roll, flaky pastry, ready-to-eat, retail",Ready-to-eat Retail Flaky Sausage Roll,🥧,FALSE,36.5,1.35,8.4,24.1,27,352,1467,25.6,0,1.3,0.2,0,0,0.2,1,0,0,2.7,3.4,10.36,2.73,0.34,9.39,9.42,3.07,3.07,0.03,0.03,N,577,129,61,14,89,1.16,0,0.7,880,0.31,5,2,0,0,0,0,2.11,0,0.08,0.11,1.7,1.7,3.4,0.18,0.2,2,0.24,0.7,2
"Sausage rolls, short pastry, homemade",Homemade Short Pastry Sausage Rolls,🥧,FALSE,32.6,1.62,9.9,28.8,25.6,395,1645,23.5,0,2.1,0.8,0,0,0,1.2,0.1,0,1.8,3.3,10.65,0,0,0,12.51,0,4.17,0,0.1,36,376,146,102,13,130,1.02,0.04,0.7,548,0.25,4,5,1,0,1,0.5,1.92,0,0.05,0.06,1.6,1.4,3.3,0.07,0.5,5,0.52,3.3,3
"Sausages, beef, fried in vegetable oil",Fried Beef Sausages,🌭,FALSE,52.7,2.82,17.6,17.4,10.7,267,1114,8.1,0,2.6,0.4,0,0.2,0.8,1.1,0.1,0,1.7,1.6,7.57,0,0,0,8.17,0,0.73,0,0.43,42,490,246,103,19,246,1.81,0.13,2.6,620,0.28,5,8,0,0,0,N,0.79,0,0,0.11,2.9,2.3,5.2,0.13,0.9,15,0.97,3.9,N
"Sausages, beef, grilled",Grilled Beef Sausages,🌭,FALSE,51.3,2.75,17.2,17.2,11,265,1105,8.6,0,2.4,0.4,0,0.2,0.7,1,0.1,0,1.7,1.6,7.9,0,0,7.37,7.9,0.57,0.57,0,0.53,42,500,246,103,19,259,1.81,0.14,2.6,680,0.27,5,8,0,0,0,N,0.59,0,0,0.14,3.2,2.3,5.5,0.14,0.9,9,0.83,3.9,N
